Title,Sale price,Merchant,Division,Category,Sub category,Artice type,Fabric,Occasion,Pattern,Image URL
Clifton Women's Printed Long Top Night Wear -Pista -I Love Family -M,499,paytm,clothing & accessories,lingerie & nightwear,nightwear,Nightwear & Nighties,,1,graphic print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPCLIFTON-WOMECLIF20094AEA7A22D/0..jpg
Slub Men's T-shirt,899,paytm,clothing & accessories,t-shirts & polos,t-shirts,Tshirts,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPSLUB-MEN-S-TINMA354373F528B47/0..jpg
KILLER Men's Jackets,5199,paytm,clothing & accessories,jackets & gilets,jackets,Jackets,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPKILLER-MEN-SKKCL529373CB036933/0..jpg
KRAUS Womens Front Open Perforated Shrug,1499,shoppersstop,clothing & accessories,western wear,sweaters,Westernwear,,1,,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/2F47AEB7CD034A8184CF2F2BF4B115CE/203830175_9101_2F47AEB7CD034A8184CF2F2BF4B115CE.jpg
Selfcare Off-White Thermal Lower For Women (Size-S),599,paytm,clothing & accessories,lingerie & nightwear,lingerie & underwear,Thermals,,1,,https://assetscdn.paytm.com/images/catalog/product/W/WT/WTHRML0000SW0013SCWTSS/2.jpg
Varanga Orange Cotton Printed Kurta With Palazzo,4299,paytm,clothing & accessories,2 wear,kurtas,Stitched Suits,,1,printed,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPVARANGA-ORANKESH3614633598FFD/0..jpg
Octave Men's Cotton T-Shirt,299,paytm,clothing & accessories,t-shirts & polos,t-shirts,Tshirts,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPOCTAVE-MEN-SOCTA100221BA267F48/0..jpg
ISHIN Womens Bhagalpuri Art Silk Printed Saree - Set of 2,3999,shoppersstop,clothing & accessories,2 wear,sarees,Indianwear,silk,1,,https://sslimages5.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/97D371FD5EE04B9185B6CDA037C046F6/203260382_7086_97D371FD5EE04B9185B6CDA037C046F6.jpg
Wonderkids Cat Patch Nevy Blue & Red kids Cap With Ears (1-3 Years),299,paytm,clothing & accessories,baby,baby boys 0-24m,Clothing for Boys,,1,,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDWONDERKIDS-CWOND21724B44095E2/1..jpg
Vastramay Blue Cotton Kurta,1499,paytm,clothing & accessories,2 wear,kurtas,Kurtas,,1,printed,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPVASTRAMAY-BLVAST565247507DDB2/1..jpg
Womens Cowl Neck Solid Top,1499,shoppersstop,clothing & accessories,western wear,"shirts, tops & tees",Tops & Tees,,1,2,https://sslimages5.shoppersstop.com/sys-master/images/h5e/hbe/9568701612062/201639959_9667.jpg_230Wx334H
Ansh Fashion Wear Men's Casual Wear Chinos With Free Assorted Colour Socks,1699,paytm,clothing & accessories,jeans,jeans,Casual Trousers,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPANSH-FASHIONANSH6768787E5FADC/1..jpg
Aujjessa Beige Green Asymmetrical Kurta,1299,paytm,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,,1,printed,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPAUJJESSA-BEIAUJJ5826613333D944/1..jpg
Laser Premium Checkered Boxer for Men - Pack of 3,1299,paytm,clothing & accessories,innerwear,boxers,Boxers,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPLASER-PREMIUBEST29070545E9CD/1..jpg
ROCX Mens Grey Colour Short Contrast Waistband,1099,paytm,clothing & accessories,sportswear,shorts,Shorts,,1,2,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPROCX-MENS-GRSREE117501AB8DE523/1..jpg
Rama Embroidered Design Green Color Anarkali Kurti With Red Legging & Dupatta Set,2999,paytm,clothing & accessories,2 wear,salwar suit sets,Stitched Suits,,1,embroidered,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPRAMA-EMBROIDRAMA208577AD9B290D/1..jpg
IndiWeaves Girl's Cotton T-Shirts Combo 3 (Pack of 3 T-Shirt),1150,paytm,clothing & accessories,tops & tees,tops & tees,Clothing for Girls,,1,,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDINDIWEAVES-GINDI2021244562D9D/1..jpg
IndiWeaves Girls Premium Cotton Warm Wollen Full Length Lower/Track Pant with 2 Open Pocket For Winter _Maroon_2-3 Years,698,paytm,clothing & accessories,sleepwear & robes,sleepwear & robes,Winter Wear for Girls & Boys,,1,2,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDINDIWEAVES-GINDI202128A605713/1..jpg
Blue Wave Black Red checkered Casual Shorts for Men,599,paytm,clothing & accessories,shorts,shorts,Shorts,,1,,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPBLUE-WAVE-BLSUSH511075D58DD63/1..jpg
Indiweaves Multicolour Boy's Cotton T-Shirts (Pack of 2),1298,paytm,clothing & accessories,tops & tees,t-shirts,Boys Tshirt,,1,2,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDINDIWEAVES-MINDI20212C6811AC9/0..jpg
